conversation_id	turn_id	id	query	original
106	1	106_1	I just had a breast biopsy for cancer. What are the most common types?	I just had a breast biopsy for cancer. What are the most common types?
106	2	106_2	Once breast cancer breaks out, how likely is it to spread?	Once it breaks out, how likely is it to spread?
106	3	106_3	How deadly is ductal carcinoma in situ?	How deadly is it?
106	4	106_4	What are the deadliness of lobular carcinoma in situ?	What? No, I want to know about the deadliness of lobular carcinoma in situ.
106	5	106_5	What are common treatments for breast cancer?	Wow, that's better than I thought.  What are common treatments?
106	6	106_6	How does PLCIS behave differently from ALH and LCIS?	How does it behave differently from PLCIS?
106	7	106_7	What makes lobular carcinoma distinct?	What makes lobular cancer distinct?
106	8	106_8	For the first stage of breast cancer, what are the alternatives to surgery?	For the first stage, what are the alternatives to surgery?
106	9	106_9	No, I meant for lobular carcinoma.	No, I meant for lobular.
106	10	106_10	Does freezing work for breast cancer?	Does freezing work?
107	1	107_1	How do I build a cheap driveway?	How do I build a cheap driveway?
107	2	107_2	Which is cheaper: concrete or asphalt?	Which is cheaper: concrete or asphalt?
107	3	107_3	What type of product is used to build a cheap driveway?	Really?  What type of product?
107	4	107_4	Which is more environmentally friendly?	Who knew?  Which is more environmentally friendly?
107	5	107_5	Which type of driveway is better for the environment?	No.  Which type of driveway is better for the environment?
107	6	107_6	How do I build a low-maintenance driveway?	And most low-maintenance?
107	7	107_7	How do I build a low-maintenance driveway?	Really? What about asphalt?
107	8	107_8	Is sealing a driveway worth it?	Is sealing worth it?
108	1	108_1	How can fires help an ecosystem?	How can fires help an ecosystem?
108	2	108_2	Give me some examples of the frequency of fire in the United States.	Give me some examples.
108	3	108_3	What are other fire-followers?	Cool name!  What are other fire-followers?
108	4	108_4	More broadly, what are the effects of agriculture?	Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture?
108	5	108_5	Can burning fuels such as wood and coal cause desertification?	Can it cause desertification?
108	6	108_6	What does it mean to be tired?	What does it mean to be tired?
108	7	108_7	How are organic farming and agroecology related?	That sounds like organic farming.  How are they related?
108	8	108_8	Does organic farming reduce global warming, and if so, how?	Does organic farming reduce global warming, and if so, how?
109	1	109_1	Why do cats eat plastic?	Why do cats eat plastic?
109	2	109_2	Will pica kill a cat?	Will it kill him?
109	3	109_3	Will eating plastic kill my cat?	What?  No.  Will eating plastic kill my cat?
109	4	109_4	How do I get my cat to stop eating plastic?	How do I get him to stop?
109	5	109_5	Should I get a second one for my cat?	Should I get a second one?
109	6	109_6	What are your cat's desires?	What are his desires?
109	7	109_7	What does the slow blink mean?	What does the slow blink mean?
110	1	110_1	What are the benefits of cow milk?	What are the benefits of cow milk?
110	2	110_2	I've heard cow milk is also made from almonds?	What about an alternative. I’ve heard it's also made from almonds?
110	3	110_3	Which milk substitute is healthiest?	Which is healthiest?
110	4	110_4	Which of the vegan milk substitutes is healthiest?	No, the vegan ones. Which of those alternatives is healthiest?
110	5	110_5	Can I make soy milk at home?	Can I make it at home?
110	6	110_6	Why is oat seem popular now?	Oat seems popular now.  Why?
110	7	110_7	Which vegan milk substitute would be the best to use?	I’m going to bake some cookies. Which one would be the best to use?
110	8	110_8	Which vegan milk substitute would be second best?	What would be second best?
110	9	110_9	What is the best vegan milk substitute in my morning latte?	What is the best in my morning latte?
110	10	110_10	What is the best vegan milk substitute in my morning latte?	I didn’t expect that. Really, hemp? Say more.
111	1	111_1	I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?	I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?
111	2	111_2	What is the Bugatti Venom GT based on?	What is the first based on?
111	3	111_3	How fast can the unmodified Bugatti Venom GT go?	How fast can the unmodified base car go?
111	4	111_4	I meant the Lotus. No, I meant the Bugatti Venom GT Spyder.	No, I meant the Lotus.
111	5	111_5	Can any Bugatti Venom GT go over 300 mph?	Can any go over 300 mph?
111	6	111_6	What is the origin of funny cars? Why do they call them that?	What is the origin of funny cars? Why do they call them that?
111	7	111_7	How fast did the Bugatti Venom GT go?	How fast did it go?
111	8	111_8	How does the Bugatti Venom GT's quickness compare to the Venom?	No, I meant the funny car.  But, that’s interesting. I heard it has a ludicrous mode. How does its quickness compare to the Venom?
111	9	111_9	What makes the Bugatti Venom GT's engine unique compared with gas ones?	It sounds like the Tesla is very competitive.  What makes its engine unique compared with gas ones?
111	10	111_10	I heard Tesla Motors have been working on something even faster.	I heard they’ve been working on something even faster.
111	11	111_11	Is the Roadster related to the other super cars we’ve talked about?	Is the Roadster related to the other super cars we’ve talked about?
112	1	112_1	What’s the history of steroid use in sports in the US?	What’s the history of steroid use in sports in the US?
112	2	112_2	What were Ziegler’s improvements?	What were Ziegler’s improvements?
112	3	112_3	Why are steroids banned?	Why are they banned?
112	4	112_4	Are there visible signs of steroids being banned in the US?	Are there visible signs?
112	5	112_5	How do steroids get away with it?	That sounds easy to spot.  How do they get away with it?
112	6	112_6	What is the NFL policy?	What is the NFL policy?
112	7	112_7	Isn’t that speed?	Isn’t that speed?
112	8	112_8	What is the difference between the NFL and its performance-enhancing drug policy?	What is the difference between the two policies?
112	9	112_9	Didn't bridge also have a problem?	I heard it even affects card players. Didn't bridge also have a problem?
112	10	112_10	I heard there was a drug scandal recently?	I know what bridge is. I heard there was a drug scandal recently.
112	11	112_11	Does the article have more about it?	Does the article have more about it?
113	1	113_1	How do genes work?	How do genes work?
113	2	113_2	What other diseases are caused by a single change in a single gene?	What other diseases are caused by a single change?
113	3	113_3	What are the other types of genetic diseases?	What are the other types of diseases?
113	4	113_4	You missed the second type of genetic disease?	You missed the second type of disease.  What was that?
113	5	113_5	How about recent developments in gene therapy to treat chromosome defects?	That’s not what I wanted. How about recent developments in gene therapy to treat those defects?
113	6	113_6	What are the mother of the child with Down syndrome worried about?	What are they worried about?
113	7	113_7	How do genes work? What are the other types of genetic diseases? What are the mother of a child with Down syndrome worried about?	No, I meant in humans.
113	8	113_8	What other types of organisms has it been tried on?	It sounds like it could be used in many places. What other types of organisms has it been tried on?
113	9	113_9	Can CRISPR/Cas9 be used to edit RNA?	I’ve heard a lot about RNA recently. Can it be used to edit that too?
113	10	113_10	What’s the difference between CRISPRi and CRISPRa?	What’s the difference between the types you mentioned?
113	11	113_11	How do genes work? What are the other types of organisms has it been tried on? What are the other types of organisms has it been tried on? What are the other types of organisms has it been tried on? What are the other types of organisms has it been tried on? What are the other types of organisms has it been tried on? What are the other types of organisms has it been tried on? What are the other types of organisms has it been tried on? What are the other types of organisms has it	That’s too basic, I’d like a more scientific explanation.
113	12	113_12	What are the commercial issues using Cas9?	The developments sound exciting. What are the commercial issues using it?
113	13	113_13	What are the alternatives to avoid licensing issues?	What are the alternatives to avoid licensing issues?
114	1	114_1	I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?	I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?
114	2	114_2	How about my diet, what should I consider changing?	How about my diet, what should I consider changing?
114	3	114_3	I meant to help my ferritin specifically.	No, I meant to help my ferritin specifically.
114	4	114_4	What is the difference between animal foods and plants?	What is the difference between the two types?
114	5	114_5	I’m vegetarian. So, what can I do to improve my ferritin and increase my levels?	I’m vegetarian. So, what can I do to improve it and increase my levels?
114	6	114_6	I heard eating eggs might help.	I heard eating eggs might help.
114	7	114_7	How many eggs do I need to eat to get the recommended amount?	I’m also a woman over 50. How many do I need to eat to get the recommended amount?
114	8	114_8	I’m starting to train for a marathon, what should I consider?	I’m starting to train for a marathon, what should I consider?
114	9	114_9	I’m starting to train for a marathon, what is a one week diet?	No, I’m starting to train for a marathon, what is a one week diet?
115	1	115_1	How are mental health disorders perceived and addressed around the world?	How are mental health disorders perceived and addressed around the world?
115	2	115_2	What are the causes of stigma in Africa?	What are the causes of stigma in Africa?
115	3	115_3	Could you expand on some of these traditional and cultural methods of treating mental illness?	Could you expand on some of these methods?
115	4	115_4	How effective are these traditional and cultural methods and could they be combined with Western medicine?	How effective are these methods and could they be combined with Western medicine?
115	5	115_5	What are the causes of stigma in Asia?	Okay. Now, what about the causes in Asia?
115	6	115_6	Is there a relationship between these values and mental illness in Africa?	Is there a relationship between these values and mental illness in the region?
115	7	115_7	Besides these values, what other factors could cause stigmatization?	Wow. Besides these values, what other factors could cause stigmatization?
115	8	115_8	What are the causes of mental illness in North America?	What about the causes in North America?
115	9	115_9	What has the National Alliance on Mental Illness done to help?	Hmm. What has the Alliance done to help?
115	10	115_10	Have Bob Wirtz, Baltimore's approach to treating depression been tried elsewhere?	I found the Indian student's approach to treating depression interesting. Have their approaches been tried elsewhere?
115	11	115_11	Can you tell me more about Chibanda's approach? How effective has it been?	Can you tell me more about Chibanda's approach? How effective has it been?
116	1	116_1	How are literary devices used in Biblical poetry?	How are literary devices used in Biblical poetry?
116	2	116_2	How is Christian poetry defined?	That's interesting. How is it defined?
116	3	116_3	How did those traditions of Greek and Latin poetry affect Christian poets?	How did those traditions affect them?
116	4	116_4	How are literary devices used in Islamic poetry?	That's interesting about Christianity. How are devices used in Islamic ones?
116	5	116_5	Okay. How does the use of rhyme in Biblical poetry compare?	Okay. How does the use of rhyme in Biblical poetry compare?
116	6	116_6	Why didn't Biblical poetry use rhymes as much?	Why didn't it use rhymes as much?
116	7	116_7	How did rhyming and parallelism influence other kinds of poetry?	Ahh, it seems like rhyming and parallelism share similar functions. How did both types of poetry influence other kinds of poetry?
116	8	116_8	Did Biblical poetry have a similar impact?	Did Biblical poetry have a similar impact?
117	1	117_1	A friend said there were massive protests in Nigeria towards the end of 2020. What happened?	A friend said there were massive protests in Nigeria towards the end of 2020. What happened?
117	2	117_2	Why was the Special Anti-Robbery Squad established in the first place?	Why was the Squad established in the first place?
117	3	117_3	What's an example of why officers scoured his car at one checkpoint in February?	What's an example of those reasons?
117	4	117_4	How did the international community respond to the crisis?	How did the international community respond?
117	5	117_5	What was the Special Anti-Robbery Squad's response to the EndSars protests?	Okay, but I meant their response to the EndSars protests.
117	6	117_6	Did opening fire on a peaceful demonstration in Lagos help?	Did that help?
117	7	117_7	What was women instrumental to the movement?	My friend also mentioned that women were instrumental to the movement. What was their role?
117	8	117_8	What was women instrumental to the #EndSARS movement?	That's cool. Tell me more about them.
117	9	117_9	How is the protection of Black lives related to the #EndSARS movement?	There was mention of the protection of Black lives earlier. How is it related to this movement?
117	10	117_10	What role did women play in the #EndSARS movement?	What role did women play in that?
118	1	118_1	I like fashion and animals. What career options should I consider?	I like fashion and animals. What career options should I consider?
118	2	118_2	What's the job outlook for fashion designers?	Becoming a fashion designer sounds interesting. What's the job outlook?
118	3	118_3	How can I get a degree in fashion design?	How can I get a degree in it?
118	4	118_4	Okay. What does the portfolio of fashion designers usually consist of?	Okay. What does the portfolio usually consist of?
118	5	118_5	What are the common entry requirements for the degree in fashion design?	What are the common entry requirements for the degree?
118	6	118_6	How about my options for my other interest?	I’ll consider those. How about my options for my other interest?
118	7	118_7	I want to know about career opportunities related to animals. What are the common entry requirements for the degree in fashion design? What are the common entry requirements for the degree in fashion photography?	Not quite. I want to know about career opportunities related to animals.
118	8	118_8	How do I become a veterinarian?	How do I become a vet?
118	9	118_9	What are the other steps to become a veterinarian?	What are the other steps?
118	10	118_10	What are the common entry requirements for the degree in fashion design? What are the common entry requirements for the degree in fashion photography? How do I become a veterinarian?	I understand that licenses are required. Tell me more about that.
