conversation_id	turn_id	id	query	original	sparse
106	1	106_1	I just had a breast biopsy for cancer. What are the most common types?	I just had a breast biopsy for cancer. What are the most common types?	
106	2	106_2	Once breast cancer breaks out, how likely is it to spread?	Once it breaks out, how likely is it to spread?	"{""Once breast cancer breaks out, how likely is it to spread?"": 0.12795256204121647, ""Once the cancer breaks out, how likely is it to spread?"": 0.10230222210657137, ""When breast cancer breaks out, how likely is it to spread?"": 0.10197286100640975, ""Once it breaks out, how likely is it to spread?"": 0.10068775665047029, ""Once it breaks out, how likely is breast cancer to spread?"": 0.09914336388507836, ""Once a breast cancer breaks out, how likely is it to spread?"": 0.09847893782220209, ""Once cancer breaks out, how likely is it to spread?"": 0.09523918279975269, ""once breast cancer breaks out, how likely is it to spread?"": 0.09354497220934983, ""Once the breast cancer breaks out, how likely is it to spread?"": 0.09170776819701792, ""If breast cancer breaks out, how likely is it to spread?"": 0.08897037328193123}"
106	3	106_3	How deadly is lobular carcinoma in situ?	How deadly is it?	"{""How deadly is lobular carcinoma in situ?"": 0.13028606071226895, ""How deadly is ductal carcinoma in situ?"": 0.12812623027470685, ""How deadly is breast cancer?"": 0.10831066502759792, ""How deadly is LCIS?"": 0.10106592387184143, ""How deadly is ductal carcinoma in situ breast cancer?"": 0.09788132776644284, ""How deadly is a lobular carcinoma in situ?"": 0.09068342514211292, ""How deadly is lobular carcinoma in situ (LCIS)?"": 0.08962509313218224, ""How deadly is ductal carcinoma in situ (LCIS)?"": 0.08798399752202712, ""How deadly is a ductal carcinoma in situ?"": 0.08341766897986086, ""How deadly is ductal carcinoma in situ if left untreated?"": 0.08261960757095885}"
106	4	106_4	What? No, I want to know about the deadliness of lobular carcinoma in situ.	What? No, I want to know about the deadliness of lobular carcinoma in situ.	"{""What? No, I want to know about the deadliness of lobular carcinoma in situ."": 0.1130713108995888, ""What? I want to know about the deadliness of lobular carcinoma in situ."": 0.10781709615987453, ""What? Yes, I want to know about the deadliness of lobular carcinoma in situ."": 0.10013854814103972, ""What is the deadliness of lobular carcinoma in situ?"": 0.09945179635785747, ""What is the deadliness for lobular carcinoma in situ?"": 0.09860673703506655, ""What do I want to know about the deadliness of lobular carcinoma in situ?"": 0.09775981008036383, ""What? No, I want to know about the deadliness of lobular carcinoma in situ?"": 0.09708324203811788, ""What? No, I want to know about the deadliness for lobular carcinoma in situ."": 0.09547385067899045, ""What is the deadline for lobular carcinoma in situ?"": 0.0953986821709821, ""I want to know about the deadliness of lobular carcinoma in situ."": 0.09519892643811867}"
106	5	106_5	What are common treatments for lobular neoplasia?	Wow, that's better than I thought.  What are common treatments?	"{""What are common treatments for lobular neoplasia?"": 0.12701503409685302, ""What are common treatment options for lobular neoplasia?"": 0.10504730271943104, ""What are the most common treatments for lobular neoplasia?"": 0.10414135472697761, ""What are the common treatments for lobular neoplasia?"": 0.10160547030185951, ""What are common lobular neoplasia treatments?"": 0.09657186672944727, ""what are common treatments for lobular neoplasia?"": 0.09627308447546812, ""What are some common treatments for lobular neoplasia?"": 0.09614017468781835, ""What are common treatments for breast cancer?"": 0.09409401486268938, ""What are common treatments for breast neoplasia?"": 0.09166479531571887, ""What are common treatments for lobular neoplasia.?"": 0.08744690208373682}"
106	6	106_6	How does PLCIS behave differently from ALH and LCIS?	How does it behave differently from PLCIS?	"{""How does PLCIS behave differently from ALH and LCIS?"": 0.12992804047178277, ""How does PLCIS behave differently from ALH?"": 0.11116267963248434, ""How does PLCIS behave differently from ALH or LCIS?"": 0.10265364500805323, ""How does lobular neoplasia behave differently from PLCIS?"": 0.10205756429608097, ""How does PLCIS behave differently from ALH and LCIS, and may be more likely to develop into cancer in the future?"": 0.09592680650060073, ""How does PLCIS behave differently than ALH and LCIS?"": 0.09286235775962033, ""How does the PLCIS behave differently from ALH and LCIS?"": 0.0922124461958508, ""How does PLCIS behave differently from ALH and LCIS, and may be more likely to develop into cancer?"": 0.09199126595414925, ""How does a PLCIS behave differently from ALH and LCIS?"": 0.09144791251815766, ""How does lobular carcinoma in situ behave differently from PLCIS?"": 0.08975728166321992}"
106	7	106_7	What makes lobular cancer distinct from other types of cancer?	What makes lobular cancer distinct?	"{""What makes lobular cancer distinct from other types of cancer?"": 0.11423372050033583, ""What makes lobular cancer distinct from non-melanoma breast cancer?"": 0.10150832812832565, ""What makes lobular cancer distinct from other types of cancers?"": 0.10107758113765156, ""What makes lobular cancer distinct from non-invasive breast cancer?"": 0.10035377907169464, ""What makes lobular cancer distinct from other types of breast cancer?"": 0.09965301395145888, ""What makes lobular neoplasia distinct from other types of cancer?"": 0.09881820468450388, ""What makes lobular cancer distinct from melanoma?"": 0.09745226667653129, ""What makes lobular cancer distinct from breast cancer?"": 0.09663513622206138, ""What makes lobular neoplasia distinct from other types of cancers?"": 0.09514324424311721, ""What makes lobular cancer distinct from malignant melanoma?"": 0.09512472538431968}"
106	8	106_8	For the first stage, what are the alternatives to surgery?	For the first stage, what are the alternatives to surgery?	"{""For the first stage, what are the alternatives to surgery?"": 0.11974573110203944, ""For the first stage of breast cancer, what are the alternatives to surgery?"": 0.11452849923000195, ""For the first stage, what are the alternatives to surgery for breast cancer?"": 0.10956387982989226, ""For the first stage, what are the alternatives to surgery for lobular carcinoma?"": 0.10108092301339905, ""For the first stage, what are the alternatives to surgery for lobular neoplasia?"": 0.0978914026687664, ""For the first stage breast cancer, what are the alternatives to surgery?"": 0.09741649302200527, ""For the first stage of lobular carcinoma, what are the alternatives to surgery?"": 0.09491210889440764, ""For the first stage, what are the alternatives to surgery for lobular cancer?"": 0.09151143924217309, ""For the first stage, what are the alternatives to surgery for breast cancer patients?"": 0.08690632730738346, ""For the first stage, what are the alternatives to surgery in breast cancer?"": 0.08644319568993145}"
106	9	106_9	What is the definition of lobular neoplasia?	No, I meant for lobular.	"{""What is the definition of lobular neoplasia?"": 0.11262223253145479, ""How deadly is lobular carcinoma in situ?"": 0.10718038714061094, ""What is the definition of lobular carcinoma?"": 0.1059375191927679, ""What is the definition of lobular cancer?"": 0.10494781010985314, ""What is a lobular carcinoma?"": 0.10042808481342316, ""What did I mean for lobular cancer?"": 0.09520048341534042, ""What did I mean by lobular cancer?"": 0.09418920416383228, ""What did I mean by lobular carcinoma?"": 0.0932242297353225, ""What is lobular carcinoma?"": 0.09314794994322238, ""What is a lobulectomy?"": 0.09312209895417249}"
106	10	106_10	Does freezing work for lobular neoplasia?	Does freezing work?	"{""Does freezing work for breast cancer?"": 0.09501158251576393, ""Does freezing breast cancer work?"": 0.10756078805355197, ""Does freezing work for lobular neoplasia?"": 0.10767480901444536, ""Does freezing work in breast cancer?"": 0.09113510132387621, ""Does freezing breast cancer cells work?"": 0.08833532450831098, ""Does freezing work?"": 0.08756197268922439, ""Does freezing work for breast cancer patients?"": 0.0860105415481048, ""Does freezing help breast cancer?"": 0.08192636183223163}"
107	1	107_1	How do I build a cheap driveway?	How do I build a cheap driveway?	
107	2	107_2	Which is cheaper: concrete or asphalt?	Which is cheaper: concrete or asphalt?	"{""Which is cheaper: concrete or asphalt?"": 0.11570895927482146, ""What is cheaper: concrete or asphalt?"": 0.11186158221323635, ""What is cheaper: concrete or asphalt driveways?"": 0.10420525525786416, ""Which is cheaper: concrete or asphalt driveways?"": 0.10037381829504881, ""What is cheaper: concrete or asphalt for a driveway?"": 0.09883392573873227, ""What is cheaper: concrete or asphalt for driveways?"": 0.09842981158069541, ""Which is cheaper: concrete or asphalt for a driveway?"": 0.09385077834163873, ""What is cheaper for a driveway: concrete or asphalt?"": 0.09367677567519965, ""Which driveway is cheaper: concrete or asphalt?"": 0.09167940954068529, ""Which is cheaper: concrete or asphalt for driveways?"": 0.09137968408207789}"
107	3	107_3	What type of product is a driveway?	Really?  What type of product?	"{""What type of product is a driveway?"": 0.10480024679275575, ""What type of product is under your driveway?"": 0.10285602247578814, ""What type of product does a driveway need?"": 0.10285495836444804, ""What type of product is underneath a driveway?"": 0.10176142350126378, ""What type of product is a driveway made of?"": 0.09996938399658634, ""What type of product is underlayment for a driveway?"": 0.09873161137485026, ""What type of product is under a driveway?"": 0.09863459144568326, ""What type of product does a driveway have to be?"": 0.09745657796555458, ""What type of product does a driveway need to be under?"": 0.09672677493813756, ""What type of product does a driveway need to be?"": 0.09620840914493232}"
107	4	107_4	Who knew? Which is more environmentally friendly?	Who knew?  Which is more environmentally friendly?	"{""Who knew? Which is more environmentally friendly?"": 0.10393562362382357, ""Who knew that concrete or asphalt is more environmentally friendly?"": 0.10369915910029705, ""Who knew? Which is more environmentally friendly, rock salt or asphalt?"": 0.10367408096618608, ""Who knew? Which is more environmentally friendly: concrete or asphalt?"": 0.10081970101554591, ""Who knew that rock salt is more environmentally friendly?"": 0.10018794378579007, ""Who knew? Which is more environmentally friendly, concrete or asphalt?"": 0.10003723004660708, ""Who knew that rock salt is more environmentally friendly than concrete?"": 0.09872626149967557, ""Who knew that concrete is more environmentally friendly than asphalt?"": 0.09648410722632676, ""Who knew that rock salt is more environmentally friendly than asphalt?"": 0.09626738758532807, ""Who knew that rock salt was more environmentally friendly than concrete?"": 0.09616850515041982}"
107	5	107_5	Which type of driveway is better for the environment?	No.  Which type of driveway is better for the environment?	"{""Which type of driveway is better for the environment?"": 0.1390075277106098, ""What type of driveway is better for the environment?"": 0.10675030782029485, ""Which type of driveway is better for the environment: concrete or asphalt?"": 0.10398460985860303, ""Which type of driveway is better for the environment, concrete or asphalt?"": 0.10131527664551436, ""Which type of driveway is better for the environment - concrete or asphalt?"": 0.0972300896311717, ""What is better for the environment: concrete or asphalt?"": 0.09279042618215212, ""What is better for the environment, concrete or asphalt?"": 0.09065703020311179, ""which type of driveway is better for the environment?"": 0.08977964888094199, ""Which type of driveway is better for the environment \u2013 concrete or asphalt?"": 0.08942734309084424, ""Which type of driveway is better for the environment compared to rock salt?"": 0.08905773997675613}"
107	6	107_6	Using gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway.	And most low-maintenance?	"{""Using gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway."": 0.10140349659731047, ""And most low-maintenance driveways are gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway.?"": 0.10137693780364597, ""Using gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway.|||And most low-maintenance?"": 0.10068233620929812, ""And most low-maintenance driveways are gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway."": 0.09997607946909698, ""Using gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway.|||And most low-maintenance driveways?"": 0.09992827504982928, ""Using gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway.?"": 0.09974183499602844, ""And most low-maintenance driveways are made of gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway.?"": 0.09972228056450311, ""Using gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway. |||And most low-maintenance?"": 0.09969994975603327, ""And most low-maintenance driveways are made of gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway."": 0.09886556392450775, ""Using gravel or a mainly green, vegetated area. Directing water from an impermeable surface to a border rain garden or soakaway. |||And most low-maintenance driveways?"": 0.09860324562974662}"
107	7	107_7	What about asphalt driveways?	Really? What about asphalt?	"{""What about asphalt driveways?"": 0.1214600082706705, ""What about asphalt?"": 0.11381560206040872, ""Is there anything else I should know about driveway maintenance?"": 0.10359592546909126, ""Is there anything else I should know about asphalt driveways?"": 0.09940319836761315, ""Is there anything else I should know about driveways?"": 0.0978882635616058, ""Really? What about asphalt driveways?"": 0.09504017081134633, ""Is there anything else you should know about driveway maintenance?"": 0.09420898050148639, ""Is there anything else to know about asphalt driveways?"": 0.09211610208716574, ""Is there anything else to know about driveway maintenance?"": 0.09184595001966844, ""Really? What about asphalt?"": 0.09062579885094366}"
107	8	107_8	Is sealing driveways worth it?	Is sealing worth it?	"{""Is sealing driveways worth it?"": 0.12452112592524699, ""Is sealing asphalt driveways worth it?"": 0.1212763084203794, ""Is sealing a driveway worth it?"": 0.11062847041332585, ""Is sealing worth it for asphalt driveways?"": 0.09727564761391919, ""Is sealing worth it?"": 0.09674873786303076, ""Is sealing your asphalt driveway worth it?"": 0.09250148942608571, ""Is sealing the driveway worth it?"": 0.08960888580819562, ""Is sealing asphalt driveways worth the cost?"": 0.0895210366270767, ""Is sealing driveways worth the cost?"": 0.08932368767071956, ""Is sealing your driveway worth it?"": 0.08859461023202024}"
108	1	108_1	How can fires help an ecosystem?	How can fires help an ecosystem?	
108	2	108_2	Give me some examples of how ecosystem type in the United States has a characteristic frequency of fire, ranging from once every 10 years to once every 500 years.	Give me some examples.	"{""Give me some examples of how ecosystem type in the United States has a characteristic frequency of fire, ranging from once every 10 years to once every 500 years."": 0.10915927643153796, ""Give me some examples of how ecosystems in the United States have a characteristic frequency of fire, ranging from once every 10 years to once every 500 years."": 0.10383585133193078, ""Give me some examples of how fire affects ecosystems."": 0.10366264081165791, ""Give me some examples of how ecosystem type in the United States has a characteristic frequency of fire, ranging from once every 10 years to once every 500 years.||Give me some examples."": 0.09951828947514416, ""Give me some examples of how ecosystems in the United States have characteristic frequency of fire, ranging from once every 10 years to once every 500 years."": 0.09855527094259087, ""Give me some examples of how ecosystem type in the United States has a characteristic frequency of fire, ranging from once every 10 years to once every 500 years. |||Give me some examples."": 0.09786758469925848, ""Give me some examples of how ecosystems in the United States have a characteristic frequency of fire."": 0.09729725406714192, ""Give me some examples of the frequency of fire in the United States."": 0.09715455645805163, ""Give me some examples of how ecosystem type in the United States has a characteristic frequency of fire."": 0.09668672448360817, ""Give me some examples of how fires affect ecosystems."": 0.09626255129907815}"
