conversation_id	turn_id	id	query	original	sparse
106	1	106_1	I just had a breast biopsy for cancer. What are the most common types?	I just had a breast biopsy for cancer. What are the most common types?	
106	2	106_2	Once breast cancer breaks out, how likely is it to spread?	Once it breaks out, how likely is it to spread?	"{""Once breast cancer breaks out, how likely is it to spread?"": 0.13137163867766954, ""Once the cancer breaks out, how likely is it to spread?"": 0.10487487631841226, ""Once it breaks out, how likely is it to spread?"": 0.10355150346556029, ""Once it breaks out, how likely is breast cancer to spread?"": 0.10294916960017926, ""Once a breast cancer breaks out, how likely is it to spread?"": 0.0986053271008555, ""Once cancer breaks out, how likely is it to spread?"": 0.09697799009921991, ""Once the breast cancer breaks out, how likely is it to spread?"": 0.09367792580927489, ""Once breast cancer breaks out, how likely is the cancer to spread?"": 0.09060034534231501, ""When breast cancer breaks out, how likely is it to spread?"": 0.08902058085267416, ""once breast cancer breaks out, how likely is it to spread?"": 0.0883706427338392}"
106	3	106_3	How deadly is lobular carcinoma in situ?	How deadly is it?	"{""How deadly is lobular carcinoma in situ?"": 0.13080181600201643, ""How deadly is ductal carcinoma in situ?"": 0.12756102346826675, ""How deadly is breast cancer?"": 0.10925878045746489, ""How deadly is LCIS?"": 0.10347156101074306, ""How deadly is ductal carcinoma in situ breast cancer?"": 0.09724830775227475, ""How deadly is a lobular carcinoma in situ?"": 0.09075229625250285, ""How deadly is lobular carcinoma in situ (LCIS)?"": 0.09011791600931131, ""How deadly is ductal carcinoma in situ (LCIS)?"": 0.08667781584904181, ""How deadly is a ductal carcinoma in situ?"": 0.08252095337213772, ""How deadly is ductal carcinoma in situ if left untreated?"": 0.08158952982624043}"
106	4	106_4	What? No, I want to know about the deadliness of lobular carcinoma in situ.	What? No, I want to know about the deadliness of lobular carcinoma in situ.	"{""What? No, I want to know about the deadliness of lobular carcinoma in situ."": 0.11298527364696419, ""What? I want to know about the deadliness of lobular carcinoma in situ."": 0.10430355007979478, ""What is the deadliness of lobular carcinoma in situ?"": 0.1038016641056961, ""What is the deadliness for lobular carcinoma in situ?"": 0.10253686222101949, ""I want to know about the deadliness of lobular carcinoma in situ."": 0.09872342444704352, ""What? No, I want to know about the deadliness of lobular carcinoma in situ?"": 0.09700206669397544, ""What are the deadliness of lobular carcinoma in situ?"": 0.09644296573365782, ""What is the deadline for lobular carcinoma in situ?"": 0.09640790422402593, ""What? No, I want to know about the deadliness for lobular carcinoma in situ."": 0.09554608356857809, ""What? I want to know about the deadliness of lobular carcinoma in situ?"": 0.09225020527924464}"
106	5	106_5	What are common treatments for lobular neoplasia?	Wow, that's better than I thought.  What are common treatments?	"{""What are common treatments for lobular neoplasia?"": 0.1264270272576299, ""What are common treatment options for lobular neoplasia?"": 0.1046404202373178, ""What are the most common treatments for lobular neoplasia?"": 0.10274641039891234, ""What are the common treatments for lobular neoplasia?"": 0.10112191333686336, ""What are common treatments for breast cancer?"": 0.09922117031197548, ""What are common lobular neoplasia treatments?"": 0.09658687287307655, ""What are some common treatments for lobular neoplasia?"": 0.09420666056535988, ""What are common treatment for lobular neoplasia?"": 0.09221109697854048, ""What are common treatments for breast neoplasia?"": 0.09142344542634602, ""What are common breast cancer treatments?"": 0.0914149826139782}"
106	6	106_6	How does PLCIS behave differently from ALH and LCIS?	How does it behave differently from PLCIS?	"{""How does PLCIS behave differently from ALH and LCIS?"": 0.12996565110540645, ""How does PLCIS behave differently from ALH?"": 0.11491733366245897, ""How does lobular neoplasia behave differently from PLCIS?"": 0.1047292297340618, ""How does PLCIS behave differently from ALH or LCIS?"": 0.10267902572764424, ""How does lobular carcinoma in situ behave differently from PLCIS?"": 0.0966894538815605, ""How does a PLCIS behave differently from ALH and LCIS?"": 0.09292783037716967, ""How does PLCIS behave differently than ALH and LCIS?"": 0.09281085367480625, ""How does the PLCIS behave differently from ALH and LCIS?"": 0.09254497446998336, ""How does lobular carcinoma behave differently from PLCIS?"": 0.08686912692521613, ""How does excision biopsy behave differently from PLCIS?"": 0.08586652044169261}"
106	7	106_7	What makes lobular cancer distinct from other types of cancer?	What makes lobular cancer distinct?	"{""What makes lobular cancer distinct from other types of cancer?"": 0.11423340308671333, ""What makes lobular cancer distinct from non-melanoma breast cancer?"": 0.10114860931364887, ""What makes lobular cancer distinct from other types of cancers?"": 0.10078297329204028, ""What makes lobular cancer distinct from non-invasive breast cancer?"": 0.0992391801419488, ""What makes lobular cancer distinct?"": 0.09889590932293699, ""What makes lobular cancer distinct from other types of breast cancer?"": 0.09806043646012806, ""What makes lobular neoplasia distinct from other types of cancer?"": 0.09787957997509647, ""What makes lobular cancer distinct from other types?"": 0.09778252444162046, ""What makes lobular cancer distinct from melanoma?"": 0.09727511771649393, ""What makes lobular cancer distinct from breast cancer?"": 0.09470226624937282}"
106	8	106_8	For the first stage, what are the alternatives to surgery?	For the first stage, what are the alternatives to surgery?	"{""For the first stage, what are the alternatives to surgery?"": 0.12280276190807711, ""For the first stage of breast cancer, what are the alternatives to surgery?"": 0.11604824225864536, ""For the first stage, what are the alternatives to surgery for breast cancer?"": 0.10631910454087831, ""For the first stage, what are the alternatives to surgery for lobular carcinoma?"": 0.0992883691054391, ""For the first stage breast cancer, what are the alternatives to surgery?"": 0.09842604673967706, ""For the first stage of lobular carcinoma, what are the alternatives to surgery?"": 0.09725908816075142, ""For the first stage, what are the alternatives to surgery for lobular neoplasia?"": 0.09548573575181828, ""What are the alternatives to surgery for the first stage of breast cancer?"": 0.09019856153800386, ""For the first stage, what are the alternatives to surgery for lobular cancer?"": 0.08713254422885187, ""What are the alternatives to surgery for infiltrating lobular carcinoma?"": 0.0870395457678576}"
106	9	106_9	What is the definition of lobular neoplasia?	No, I meant for lobular.	"{""What is the definition of lobular neoplasia?"": 0.10775726610490556, ""What is the definition of lobular carcinoma?"": 0.10650651938756536, ""What is the best treatment for lobular neoplasia?"": 0.1055440922868568, ""What is the definition of lobular cancer?"": 0.10416733286134566, ""What is a lobular neoplasia?"": 0.1000757689706026, ""No, I meant for lobular."": 0.09694084776557747, ""How deadly is lobular carcinoma in situ?"": 0.0968502281247972, ""What is a lobular carcinoma?"": 0.09643528646251046, ""What is the best treatment for lobular cancer?"": 0.09297251594434514, ""What is a lobulectomy?"": 0.09275014209149375}"
106	10	106_10	Does freezing work for breast cancer?	Does freezing work?	"{""Does freezing work for breast cancer?"": 0.13675732811440833, ""Does freezing breast cancer work?"": 0.13588296762467456, ""Does freezing work for lobular neoplasia?"": 0.11263369922413888, ""Does freezing work?"": 0.09928812376040957, ""Does freezing work in breast cancer?"": 0.09425882755587164, ""Does freezing help breast cancer?"": 0.09071877259612282, ""Does freezing work for breast cancer patients?"": 0.0851465949811749, ""Does freezing work to treat breast cancer?"": 0.08233487485536847, ""Does freezing work with breast cancer?"": 0.08200558153715612, ""Does freezing help with breast cancer?"": 0.08097322975067471}"
