query_id,manual_recip_rank,delta_recip_rank,manual_recall_1000,delta_recall_1000,manual_ndcg_cut_3,delta_ndcg_cut_3,raw_query,automatic_query,manual_query
127_4,1.0,0.9878,0.913,0.8695,1.0,1.0,I live in Seattle and have a big lawn. How big should it be? How much can I save?,How much can I save on Seattle's lawn?,How much rainwater can I collect with a rain barrel?
111_4,1.0,0.9897,1.0,0.125,1.0,1.0,"No, I meant the Lotus.","No, I meant the Lotus.",How fast can the Lotus Elise/Exige go?
118_6,1.0,1.0,0.5455,0.5455,1.0,1.0,I’ll consider those. How about my options for my other interest?,How about my options for my other interest besides fashion design?,I’ll consider those. How about my career options for my other interest in animals?
127_3,1.0,0.8889,0.9302,0.6976,1.0,1.0,Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider?,What should I consider when collecting stormwater for my garden?,Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel?
129_8,1.0,0.9474,0.8214,0.25,1.0,0.8827,Can a person have both at the same time?,Can a person have both the catecholamine theory of mood and depression at the same time?,Can a person have mania and depression at the same time?
117_4,1.0,0.9744,1.0,0.25,0.8707,0.8707,How did the international community respond?,How did the international community respond to the crisis in Nigeria?,How did the international community respond to the EndSars protests in Nigeria?
124_8,1.0,0.6667000000000001,0.8393,0.28570000000000007,1.0,0.8240000000000001,And the last?,What was the dinosaur era like on Earth?,What was characteristic about the Cretaceous Period?
127_9,1.0,0.8571,0.5833,0.33330000000000004,0.8131,0.8131,I’ll try the garden too. What are some native plants for my area that I could use?,What are some native plants for my area that I could use in a rain garden?,I’ll try the rain garden too. What are some native plants for the Seattle areas that I could use?
124_9,1.0,0.8889,0.8243,0.554,0.926,0.8087000000000001,What happened to dinosaurs after then?,What happened to dinosaurs after Tyrannosaurus Rex was killed?,What happened to dinosaurs after the Cretaceous period ended?
115_7,1.0,0.9444,0.8,0.4,0.7654,0.7654,"Wow. Besides these values, what other factors could cause stigmatization?","Besides paternalistic approach, what other factors could cause stigmatization in Africa?","Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia?"
110_7,1.0,0.9985,0.9091,0.8182,0.7654,0.7654,I’m going to bake some cookies. Which one would be the best to use?,Which one would be the best to use for my cookies?,I’m going to bake some cookies. Which vegan milk is best for baking cookies?
115_6,1.0,1.0,0.6667,0.6667,0.7346,0.7346,Is there a relationship between these values and mental illness in the region?,Is there a relationship between African Traditional Medicine and mental illness in the region?,Is there a relationship between Asian cultural values and mental illness?
128_3,1.0,0.8,0.4925,0.2388,0.7118,0.7118,Who is at high risk?,Who is at high risk for addiction?,Who is at high risk for alcohol addiction?
131_6,1.0,0.9167,1.0,0.5,0.7039,0.7039,How many years will it take to recoup the investment?,How many years will it take to recoup the investment in a heat pump?,How many years will it take to recoup the investment in a geothermal heat pump?
129_6,1.0,0.8,1.0,0.8667,0.7039,0.7039,Can these drugs alleviate depression?,Can catecholamines alleviate depression?,Can stimulant drugs alleviate depression?
124_7,1.0,0.6667000000000001,0.8361,0.16399999999999992,1.0,0.6913,What about the second?,What about the second dinosaur era?,What was characteristic about the Jurassic Period?
107_4,1.0,0.9979,0.7586,0.7241000000000001,0.6913,0.6913,Who knew?  Which is more environmentally friendly?,Who knew that rock salt was more environmentally friendly?,Which type of driveway is more environmentally friendly?
111_2,1.0,0.9974,1.0,0.9167,0.6667,0.6667,What is the first based on?,What is the first car based on?,What is Hennessey Venom GT based on?
115_2,1.0,0.8889,1.0,0.5,0.6646,0.6646,What are the causes of stigma in Africa?,What are the causes of stigma in Africa?,What are the causes of mental health stigma in Africa?
118_4,1.0,0.9962,0.6,0.39999999999999997,0.7654,0.6481,Okay. What does the portfolio usually consist of?,Okay. What does the portfolio usually consist of?,Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of?
110_3,1.0,0.6667000000000001,0.9643,0.5357000000000001,0.7654,0.6481,Which is healthiest?,Which milk is healthiest?,"Which of the milk options (almond, oat, hemp or rice milk) is the healthiest?"
110_4,1.0,0.8333,0.4074,-0.03700000000000003,0.6173,0.6173,"No, the vegan ones. Which of those alternatives is healthiest?",Which of the vegan alternatives is healthiest?,"No, the vegan ones. Which of the vegan alternative milk options is healthiest?"
124_4,1.0,0.9375,0.8571,0.6,0.5885,0.5885,What was it like during the time dinosaurs were on earth?,What was it like during the time dinosaurs were on earth?,What was earth's landmass like during the Mesozoic era?
118_1,1.0,0.9444,0.7222,0.6111,0.8436,0.5885,I like fashion and animals. What career options should I consider?,What career options should I consider?,I like fashion and animals. What career options should I consider?
110_9,1.0,0.8571,0.8,0.45000000000000007,0.5885,0.5885,What is the best in my morning latte?,What is the best in my morning latte?,What vegan milk is best in my morning latte?
119_2,1.0,0.9,0.6,0.19999999999999996,0.5475,0.5475,I just checked and there’s swelling in the outer portion. What could it be?,What could the swelling in the outer portion of the ear canal be?,I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of?
117_6,1.0,1.0,0.5,0.5,0.5317,0.5317,Did that help?,"Did the international teams from the U.S., U.K., China, France and Israel help with the hunt for the 276 girls still missing in Nigeria?",Did international support from the US help with the EndSars movement?
113_5,1.0,0.0,0.8333,0.16660000000000008,0.7654,0.5307999999999999,That’s not what I wanted. How about recent developments in gene therapy to treat those defects?,How about recent developments in gene therapy to treat chromosome defects?,That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome?
124_6,0.5,0.16670000000000001,0.8182,0.11370000000000002,0.648,0.5307000000000001,Okay. You mentioned three periods in the Dinosaur era. What was characteristic about the first one?,What was characteristic about the first dinosaur period?,Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period?
113_7,0.5,0.5,0.8421,0.8421,0.5307,0.5307,"No, I meant in humans.","No, I meant in humans.","No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?"
112_2,1.0,1.0,0.9091,0.9091,0.5,0.5,What were Ziegler’s improvements?,What were Ziegler’s improvements?,Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes?
119_1,0.2,0.19260000000000002,0.8571,0.7142,0.5,0.5,My dog has been shaking and tilting its head a lot recently. What could be wrong?,What could be wrong with my dog?,My dog has been shaking and tilting its head a lot recently. What could be wrong?
121_8,0.0833,0.0833,1.0,1.0,0.4791,0.4791,How did all these affect global consumption?,How did rust affect global consumption?,How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption?
111_7,0.0,0.0,0.0,0.0,0.4693,0.4693,How fast did it go?,How fast did the Tesla Roadster go in 1966?,How fast did the first funny car go?
131_4,1.0,0.75,1.0,0.0,0.7232,0.44639999999999996,A heat pump seems very suitable for my house. How much does it cost to install one?,How much does it cost to install a heat pump in my home in Washington?,A heat pump seems very suitable for my house. How much does it cost to install one?
115_4,1.0,0.0,1.0,0.0,0.81,0.42990000000000006,How effective are these methods and could they be combined with Western medicine?,How effective are the traditional methods of treating mental illness and could they be combined with Western medicine?,How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine?
113_6,1.0,0.0,0.7442,0.09299999999999997,1.0,0.4134,What are they worried about?,What are researchers worried about with CRISPR?,What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?
112_9,1.0,0.9286,0.6667,0.16669999999999996,0.4693,0.3911,I heard it even affects card players. Didn't bridge also have a problem?,Didn't bridge also have a problem with card players?,I heard it even affects card players. Didn't the game of bridge also have a problem with drug use?
121_3,0.5,0.3,0.625,-0.0625,0.3838,0.3838,I also heard that other Latin American countries had coffee production issues. Was the disruption widespread?,Was the disruption of coffee production in other Latin American countries widespread?,I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread?
113_4,0.5,0.4825,0.5652,0.5217,0.3827,0.3827,You missed the second type of disease.  What was that?,What was the second type of disease that you missed?,You missed the second type of genetic disease.  What was that?
108_3,1.0,0.9444,0.3235,0.29410000000000003,0.3559,0.3559,Cool name!  What are other fire-followers?,What are other fire-followers in addition to whispering bells?,Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires?
129_3,1.0,0.0,0.6444,0.3333,0.5866,0.352,How can I balance it?,How can I balance dopamine and endorphins?,How can I balance serotonin?
107_3,1.0,0.6667000000000001,0.7826,0.5216999999999999,0.7344,0.34420000000000006,Really?  What type of product?,What type of product is the wrong de-icing product?,What type of de-icing product can damage concrete driveways?
128_2,1.0,0.0,0.6667,0.5625,0.8087,0.3087,What are the causes of it?,What are the causes of dopamine release in the reward center?,What are the causes of alcoholism?
106_1,1.0,0.5,0.9231,0.0,0.648,0.30860000000000004,I just had a breast biopsy for cancer. What are the most common types?,What are the most common types of cancer in regards to breast biopsy?,I just had a breast biopsy for cancer. What are the most common types of breast cancer?
108_4,0.5,-0.5,0.6591,0.31820000000000004,0.5765,0.306,"Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture?",What are the effects of agriculture on the longleaf pine ecosystem besides fire?,Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem?
110_8,1.0,0.0,1.0,0.4545,0.8827,0.29610000000000003,What would be second best?,What would be second best for vegan buttermilk?,Which vegan milk besides soy is best for baking?
