	Query_id	Query	Passage_id	Passage	Score
0	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_33_1621342262-1	"Climate Change: What is COP26, and why is it happening in Glasgow in 2021?  - CBBC Newsround Home Menu Home Shows Games Quizzes Watch Join  In Puzzles Newsround Newsround play Watch Newsround Climate Change: What is COP26, and why is it happening in Glasgow in 2021?  18 Nov 2020 18 November 2020 Last updated at 01:27 comments View Comments (2) COP26  The official poster for the rescheduled COP26 summit Prime Minister Boris Johnson had pledged that 2020 would be the ""defining year of climate action"" when he joined Sir David Attenborough to launch the next United Nations climate change conference.  The COP26 event is a global united Nations summit about climate change and how countries are planning to tackle it.  It was due to take place in Glasgow from 9 - 19 November with more than 200 world leaders due to attend, but when coronavirus arrived, that all changed.  Cop26 was moved to 1 and 12 November 2021 but many young activists from around the world are meeting at an online conference called Mock COP26 on the original dates.  So what is COP26 all about?  Keep reading to find out."	93.60385068980212
1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_30_1605964568-1	HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.	93.43356706500526
2	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_27_1574256585-1	Event: UN Climate Change Conference (UNFCCC COP 26) | SDG Knowledge Hub | IISD 1-12 November 2021 Glasgow, Scotland, UK share this twitter facebook googleplus pinterest UN Climate Change Conference (UNFCCC COP 26)  The 26th session of the Conference of the Parties (COP 26) to the UNFCCC was originally scheduled to take place from 9-19 November 2020, in Glasgow, UK.  On 28 May 2020, the COP Bureau decided that it would take place from 1-12 November 2021, in Glasgow, UK.  The change in dates had been anticipated following a decision, on 1 April 2020, to postpone the event due to the COVID-19 pandemic.  At that time, the COP Bureau announced that: “In light of the ongoing, worldwide effects of COVID-19, holding an ambitious, inclusive COP26 in November 2020 is no longer possible.  Rescheduling will ensure all parties can focus on the issues to be discussed at this vital conference and allow more time for the necessary preparations to take place.  We will continue to work with all involved to increase climate ambition, build resilience and lower emissions.”  The Italy-hosted Pre-COP and 'Youth for the Climate' event are also postponed.  SDG Knowledge Hub coverage of COP 25 and related events here.	91.18874675715053
3	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_31_534957630-30	Source: The Climate Council Source: The Climate Council Source: The Climate Council Source: The Climate Council Source: The Climate Council Source: The Climate Council Source: The Climate Council Source: The Climate Council A Power Plant in Iceland Deals with Carbon Dioxide by Turning It into Rock (Source: MIT Technology ) Climate change developing world – What impacts will climate change have in the developing world? Climate change affects the entire globe; its impacts are more pronounced in the developing world than in the developed world.  In fact, ironically, although most of the human activity that produces climate change occurs in the developed world, many of climate changes’ effects will actually be beneficial in the developed world.  In the short- and middle-term, for example, climate change will likely increase fish and agricultural yields where populations are small and shrinking and productivity is highest.  Climate change’s impacts in the developing world will be almost exclusively negative, often terribly so.  As K. Smith tartly observed in 2008: “The rich will find their world to be more expensive, inconvenient, uncomfortable, disrupted and colourless; in general, more unpleasant and unpredictable, perhaps greatly so.  The poor will die.”	87.43064186861739
4	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_17_3309188225-27	"It has been a topic for discussion at some of the United Nations Climate Change Conferences (COP). Impacts A changing climate also results in economic burdens.  The economies in Least Developed Countries have lost an average of 7% of their gross domestic product for the year 2010, mainly due to reduced labor productivity.  Rising sea levels cost 1% of GDP to the least developed countries in 2010 – 4% in the Pacific – with 65 billion dollars annually lost from the world economy.  Another example is the impact on fisheries: approximately 40 countries are acutely vulnerable to the impact of greenhouse gas emissions on fisheries.  Developing countries with large fisheries sectors are particularly affected.  During the Cancún COP16 in 2010, donor countries promised an annual $100 billion by 2020 through the Green Climate Fund for developing countries to adapt to climate change.  However, concrete pledges by developed countries have not been forthcoming.  Emmanuel Macron ( President of France) said at the 2017 United Nations Climate Change Conference in Bonn (COP 23): ""Climate change adds further injustice to an already unfair world"".  Economic development and climate are inextricably linked, particularly around poverty, gender equality, and energy."	85.76885392668191
5	132_1-3	Interesting. What are the effects of these climate changes?	WAPO_c514bdc9df22c43dfb344c58a3ea8197-5	The results showed that developed nations had a much higher awareness of climate change than the developing world, likely thanks to higher access to education and communication. But on the other hand, the people who were aware of climate change in developing nations perceived its risk to be higher than those in developed nations.  Leiserowitz adds that many people in developing nations who had never been educated about climate change said they had nonetheless already noticed local changes in temperature and precipitation patterns.  This is not necessarily surprising — time and again, scientists have warned that developing nations are likely to be hit hardest by the effects of climate change, and many climate-related changes in temperature and weather patterns are already most apparent in these places.  It’s a disproportional and, in many activists’ opinion, unjust aspect of climate change: The nations that have contributed the least amount of carbon emissions to Earth’s atmosphere are suffering the worst effects.  And the new study’s results highlight another aspect of this climate injustice — that is, people in the nations likely to be most affected by climate change are the least educated on the issue and therefore the least prepared for its effects.  “Not knowing you’re at risk makes you more vulnerable to risk,” Leiserowitz says.	82.68422979229945
6	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_30_1605964568-1	HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.	86.35144554430735
7	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_27_1574256585-1	Event: UN Climate Change Conference (UNFCCC COP 26) | SDG Knowledge Hub | IISD 1-12 November 2021 Glasgow, Scotland, UK share this twitter facebook googleplus pinterest UN Climate Change Conference (UNFCCC COP 26)  The 26th session of the Conference of the Parties (COP 26) to the UNFCCC was originally scheduled to take place from 9-19 November 2020, in Glasgow, UK.  On 28 May 2020, the COP Bureau decided that it would take place from 1-12 November 2021, in Glasgow, UK.  The change in dates had been anticipated following a decision, on 1 April 2020, to postpone the event due to the COVID-19 pandemic.  At that time, the COP Bureau announced that: “In light of the ongoing, worldwide effects of COVID-19, holding an ambitious, inclusive COP26 in November 2020 is no longer possible.  Rescheduling will ensure all parties can focus on the issues to be discussed at this vital conference and allow more time for the necessary preparations to take place.  We will continue to work with all involved to increase climate ambition, build resilience and lower emissions.”  The Italy-hosted Pre-COP and 'Youth for the Climate' event are also postponed.  SDG Knowledge Hub coverage of COP 25 and related events here.	84.40652748986031
8	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_43_580627738-2	"The members talked about various issues caused by climate change including heat waves, droughts, flooding, loss of natural habitats, and more. ""This is a global challenge.  Each and every one of us can make a difference and we need to act now,"" Jennie said in the video.  ""This is our planet.  This is our future.  Climate change affects us all,"" added Lisa.  According to YG Entertainment, Blackpink recently received a personal letter from British Prime Minister Boris Johnson, inviting them to serve as advocates for the 26th United Nations Climate Change Conference  [  COP26], which aims to raise awareness for a global campaign against climate change issues.  ""Your recent video 'Climate Action in Your Area #COP26' was a huge success, being viewed over 10 million times across social media platforms.  Climate change is the most important issue of our time... it is fantastic that you have chosen this moment to lend your voices to this critical issue,"" the letter read, according to Soompi.  Blackpink also held an interview with BBC on the need for #ClimateAction which was posted on its official YouTube Channel Friday.  The members also talked about the documentary by David Attenborough titled ""A Life on Our Planet.""  They also discussed the importance of preserving our nature and wildlife."	83.5664491878415
9	132_1-7	Woah. The effects of climate change are not all bad, right?	MARCO_36_685584816-2	Here are just a few ways that climate change impacts our everyday lives: Climate Change Is Bad for Our Health Climate change impacts human health in countless ways, but four are worth emphasizing here: Rising temperatures: As temperatures climb around the globe, we expect to see more heatwaves – and ever-more intense ones at that. Extreme heat can “ overpower the human body ” and cause dehydration, heatstroke, and major organ damage.  And certain populations are more at risk from the impacts of heatwaves than others, including the elderly, children, and the poor.  Air quality: Pollution from burning fossil fuels is bad enough for the air we breathe, but many impacts of climate change also impact air quality.  For instance, climate change has been linked to more wildfires.  Wildfire smoke carries fine particles that “ can penetrate deep into your lungs .”  Exposure has been linked to burning eyes, heart and lung diseases, and even death.  Vector-borne diseases: Vector-borne diseases are illnesses spread by insects or arachnids like mosquitoes, fleas, mites, and ticks.  As our climate becomes warmer, some insects will see their geographic ranges grow – bringing the Lyme disease and West Nile or Zika viruses they carry along with them to new regions.	93.84464213222964
