conversation_id	turn_id	id	query	original	sparse	turn_leaf_id
132	1-1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about? Are you referring to the 1974 event?	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about? Are you referring to the 1974 event?		132_1-7
132	1-3	132_1-3	What are the effects of COP26 climate changes are?	What are the effects of COP26 changes? No, I want to know what the effects of these climate changes are.		132_1-7
132	1-5	132_1-5	Can you be more specific about COP26 and the effects of climate change?	Can you be more specific about COP26? No, I want more details about the effects of climate change.		132_1-7
132	1-7	132_1-7	What are the four ways that climate change impacts human health?	What are the four ways that climate change impacts human health?		132_1-7
132	1-1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about? No, the one last year.	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about? No, the one last year.		132_2-13
132	1-3	132_1-3	What are the effects of COP26 changes in developing nations?	What are the effects of COP26 changes? No, I want to know about climate change in developing nations.		132_2-13
132	2-1	132_2-1	I want to know more about the effects of climate change on developing countries.	What’s interesting about COP26? I want to know more about the effects of climate change on developing countries.		132_2-13
132	2-3	132_2-3	Which climate change problems affedcting developing countries are you interested in?	How does COP26 affect developing countries? Which climate change problems affedcting developing countries are you interested in?		132_2-13
132	2-5	132_2-5	How are developed countries helping undeveloped countries with climate change adaptation?	How are developed countries helping with climate change adaptation? No, i want to know how developed countries are helping undeveloped countries		132_2-13
132	2-7	132_2-7	Are developed countries keeping their word to provide assistance to developing countries?	Are developed countries meeting the Paris Agreement? I want to know what countries are keeping their word to provide assistance to developing countries.		132_2-13
132	2-9	132_2-9	Is COP26 related to last year’s conference?	Is COP26 related to last year’s conference?		132_2-13
132	2-11	132_2-11	So what happens at each Paris COP? I want to know what happens at them.	So what happens at each Paris COP? I want to know what happens at them.		132_2-13
132	2-13	132_2-13	How are the two Paris COPs different?	How are the two Paris COPs different?		132_2-13
132	1-1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about? No, the one last year.	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about? No, the one last year.		132_3-7
132	1-3	132_1-3	What are the effects of COP26 changes in developing nations?	What are the effects of COP26 changes? No, I want to know about climate change in developing nations.		132_3-7
132	2-1	132_2-1	I want to know more about the effects of climate change on developing countries.	What’s interesting about COP26? I want to know more about the effects of climate change on developing countries.		132_3-7
132	2-3	132_2-3	Which climate change problems affedcting developing countries are you interested in?	How does COP26 affect developing countries? Which climate change problems affedcting developing countries are you interested in?		132_3-7
132	2-5	132_2-5	How are developed countries helping with climate change adaptation?	How are developed countries helping with climate change adaptation?		132_3-7
132	2-7	132_2-7	Are developed countries meeting the Paris Agreement?	Are developed countries meeting the Paris Agreement?		132_3-7
132	2-9	132_2-9	Now that Biden is president, where does the United States stand with the Paris agreement?	Is COP26 related to last year’s conference? Now that Biden is president, where does the us stand with the paris agreement.		132_3-7
132	3-1	132_3-1	Why is COP26 the biggest summit the UK has ever hosted?	Why is COP26 the biggest summit the UK has ever hosted?		132_3-7
132	3-3	132_3-3	What the overall reaction was to the withdrawal from the Paris climate accord besides the United States?	How did other parties respond to the withdrawal from the Paris climate accord besides the United States? I don't know which country I want to hear about just yet.  Can you tell me what the overall reaction was?		132_3-7
132	3-5	132_3-5	Where does the US stand now that Biden is president? I'm specifically interested in emissions targets and the Paris Agreement.	Where does the US stand now that Biden is president? Yes, but I'm specifically interested in emissions targets and the Paris Agreement.		132_3-7
132	3-7	132_3-7	How are the United States doing after 2030 target?	How are the United States doing after 2030 target?		132_3-7
133	1-1	133_1-1	I’d like to appreciate my mom by making her a pamper pack. What do you put in one? Yes, and what to put in a beauty pamper pack for my mom.	I’d like to appreciate my mom by making her a pamper pack. What do you put in one? Yes, and what to put in a beauty pamper pack for my mom.		133_1-7
133	1-3	133_1-3	Can I make voucher books at home for Mom’s Day?	Can I make voucher books at home for Mom’s Day?		133_1-7
133	1-5	133_1-5	Can you tell me how to make a make-up remover?	I’ve never done make-up remover before. Can you tell me how to make one?		133_1-7
133	1-7	133_1-7	How much would making your own deodorant cost?	How much would making your own deodorant cost?		133_1-7
133	1-1	133_1-1	I’d like to appreciate my mom by making her a pamper pack. What do you put in one?	I’d like to appreciate my mom by making her a pamper pack. What do you put in one?		133_3-8
133	1-3	133_1-3	Can I make voucher books at home for Mom’s Day?	Can I make voucher books at home for Mom’s Day?		133_3-8
133	1-5	133_1-5	Can you tell me how to make a make-up remover?	I’ve never done make-up remover before. Can you tell me how to make one?		133_3-8
133	3-2	133_3-2	What’s in a pamper pack for Mom’s Day?	My mom loves a good, scented lotion. Let’s make her a pamper pack?		133_3-8
133	3-4	133_3-4	I need more information about the first step in making a scented body lotion.	I need more information about the first step in making a scented body lotion.		133_3-8
133	3-6	133_3-6	What types of essential oils should I consider when making a scented body lotion?	What types of essential oils should I consider when making a scented body lotion?		133_3-8
133	3-8	133_3-8	Ok, so how do I mix the fragrance and colorants in a funnel?	Okay, so how do I mix the fragrance and colorants in a funnel?		133_3-8
133	1-1	133_1-1	I’d like to appreciate my mom by making her a pamper pack. What do you put in one? Yes, i am looking for something like that.	I’d like to appreciate my mom by making her a pamper pack. What do you put in one? Yes, i am looking for something like that.		133_2-3
133	1-3	133_1-3	Can I make voucher books at home for Mom’s Day? No, I want to learn more about making beauty products at home.	Can I make voucher books at home for Mom’s Day? No, I want to learn more about making beauty products at home.		133_2-3
133	2-1	133_2-1	Can you tell me how to make the first Make-up Remover at home?	Can you tell me how to make the first Make-up Remover at home? Yes, give me a recipe for homemade body scrub.		133_2-3
133	2-3	133_2-3	What about the second make-up remover?	What about the second make-up remover?		133_2-3
134	1-1	134_1-1	What should I consider when buying a phone? Do you want to know what to consider when buying a smartphone?	What should I consider when buying a phone? Do you want to know what to consider when buying a smartphone?		134_3-5
134	2-1	134_2-1	I've heard iPhones look and feel great. Should I get one?	I've heard iPhones look and feel great. Should I get one? Yes, i need information about iphones		134_3-5
134	3-1	134_3-1	Would you like to know about a smartphone that isn't an iPhone or Android?	Other than Android phones, what other types are out there? Would you like to know about a smartphone that isn't an iPhone or Android?		134_3-5
134	3-3	134_3-3	Aren’t Windows Phones as good as Android or iPhone worldwide?	Aren’t Windows Phones as good as Android or iPhone? Do you want to know whay Android and iOS are considered so good worldwide?		134_3-5
134	3-5	134_3-5	What’s more about phones than mobile platforms?	What’s more about phones than mobile platforms?		134_3-5
134	1-1	134_1-1	What should I consider when buying a phone? Yes, I want to buy a smartphone that can help me run my day-to-day life.	What should I consider when buying a phone? Yes, I want to buy a smartphone that can help me run my day-to-day life.		134_4-4
134	4-2	134_4-2	To run most aspects of my day-to-day life.	To run most aspects of my day-to-day life.		134_4-4
134	4-4	134_4-4	What phone should I get for running?	What phone should I get for running?		134_4-4
134	1-1	134_1-1	What should I consider when buying a phone? Yes, I am looking at the Motorola Moto G7.	What should I consider when buying a phone? Yes, I am looking at the Motorola Moto G7.		134_1-13
134	1-3	134_1-3	Which one would you recommend to someone buying a cell phone?	Which one would you recommend to someone buying a cell phone? I want to know what smartphone would fit my needs.		134_1-13
134	1-5	134_1-5	No, I would like the history on the Motorola Moto G7 Power.	Tell me more about the first one. No, I would like the history on the Motorola Moto G7 Power.		134_1-13
134	1-7	134_1-7	How much cheaper is the A10e than the Motorola Moto G7 Power?	How much cheaper is the A10e than the Moto G7? Yes, I am interested in learning about the price of the Motorola Moto G7 Power.		134_1-13
134	1-9	134_1-9	What is almost half the cost of both Samsung Galaxy A10e and Galaxy A10?	Wow, that's almost half the cost of both Samsung Galaxy A10e and Galaxy A10? I want to know how the two phones compare.		134_1-13
134	1-11	134_1-11	What makes the Moto G7 so good?	What makes the Moto G7 so good?		134_1-13
134	1-13	134_1-13	Why is the A50 better than the Moto G7 and Moto G7 Power?	Why is the A50 better than the Moto G7 and Moto G7 Power?		134_1-13
134	1-1	134_1-1	What should I consider when buying a phone? Yes, and maybe an iPhone.	What should I consider when buying a phone? Yes, and maybe an iPhone.		134_2-3
134	2-1	134_2-1	Yes, tell me the benefits that iPhones have over their competition.	I've heard iPhones look and feel great. Should I get one? Yes, tell me the benefits that iPhones have over their competition.		134_2-3
134	2-3	134_2-3	Which iPhone or Android phone should I get?	Which iPhone or Android phone should I get?		134_2-3
135	1-1	135_1-1	I took a year-long break from running due to work commitments. Tell me, how do I get back into it? Yes, I want to know how to make it easier.	I took a year-long break from running due to work commitments. Tell me, how do I get back into it? Yes, I want to know how to make it easier.		135_1-7
135	1-3	135_1-3	What exercises can I mix with Cool. Running?	What exercises can I mix with Cool. Running. Would you like to know which excercises can be done while running?		135_1-7
135	1-5	135_1-5	What exercises work with running?	Which resistance bands do you recommend? No, not equipment. I want yo know what exercises work with running.		135_1-7
135	1-7	135_1-7	Can I do Awesome and run on the same day?	Can I do Awesome and run on the same day?		135_1-7
135	1-1	135_1-1	I took a year-long break from running due to work commitments. Tell me, how do I get back into it? Yes, I want help in getting back into the habit of running regularly.	I took a year-long break from running due to work commitments. Tell me, how do I get back into it? Yes, I want help in getting back into the habit of running regularly.		135_3-5
135	3-1	135_3-1	Are there better ways of burning maximum amounts of calories in shortest amounts of time?	Are there better calorie-burning alternatives to try? Are you interested in ways of burning maximum amounts of calories in shortest amounts of time?		135_3-5
135	3-3	135_3-3	What else is there besides skiing for me?	I don’t have an indoor bike and neither am I great at skiing. What else is there besides skiing?		135_3-5
135	3-5	135_3-5	I suppose I could do jump rope, that sounds fun and accessible. I like the outdoors though.	I suppose I could do jump rope, that sounds fun and accessible. I like the outdoors though.		135_3-5
135	1-1	135_1-1	I took a year-long break from running due to work commitments. Tell me, how do I get back into it?	I took a year-long break from running due to work commitments. Tell me, how do I get back into it?		135_2-11
135	2-1	135_2-1	Any tips on how to lose weight after a year of running?	I'd like to lose weight. Any tips on how to do that?		135_2-11
135	2-3	135_2-3	How often should I restart my device?	How often should I restart my device? No, this isn't about phones, I'm asking about a person running for exercise.		135_2-11
135	2-5	135_2-5	What if I do running on an empty stomach?	What if I do running on an empty stomach? Yes, tell me if it's a good idea or not.		135_2-11
135	2-7	135_2-7	What's a better alternative to running on an empty stomach?	What's a better alternative to running on an empty stomach?		135_2-11
135	2-9	135_2-9	Would you like to know the drawbacks of running on an empty stomach for leisure athletes?	Why is running on an empty stomach not a good idea for leisure athletes? Would you like to know the drawbacks of running on an empty stomach?		135_2-11
135	2-11	135_2-11	So best to avoid running on an empty stomach?	So best to avoid running on an empty stomach?		135_2-11
135	1-1	135_1-1	I took a year-long break from running due to work commitments. Tell me, how do I get back into it? Start slow with swimming maybe that is light on the joints.	I took a year-long break from running due to work commitments. Tell me, how do I get back into it? Start slow with swimming maybe that is light on the joints.		135_4-1
135	3-1	135_3-1	Are there better ways of burning maximum amounts of calories in shortest amounts of time?	Are there better calorie-burning alternatives to try? Are you interested in ways of burning maximum amounts of calories in shortest amounts of time?		135_4-1
135	3-3	135_3-3	What else is there besides skiing for me?	I don’t have an indoor bike and neither am I great at skiing. What else is there besides skiing?		135_4-1
135	4-1	135_4-1	How do I do the second exercise at home besides running and swimming?	How do I do the second exercise at home?		135_4-1
136	1-1	136_1-1	What was the basis of the Watergate scandal? Yes, I would like to know what happened to Nixon after the scandal.	What was the basis of the Watergate scandal? Yes, I would like to know what happened to Nixon after the scandal.		136_1-13
136	1-3	136_1-3	What caused the Watergate scandal?	Why did the Watergate Scandal break in? Would you like to know what caused the Watergate scandal?		136_1-13
136	1-5	136_1-5	What happened after the Watergate burglars stood trial for their participation in the break-in? No, I want to know what happened to Nixon after they were caught.	What happened after the Watergate burglars stood trial for their participation in the break-in? No, I want to know what happened to them after they were caught.		136_1-13
136	1-7	136_1-7	Did Congress and the federal prosecution get Nixon's taped conversations in the Oval Office? No, I just want to learn about it.	Did Congress and the federal prosecution get Nixon's taped conversations in the Oval Office? No, I just want to learn about it.		136_1-13
136	1-9	136_1-9	So what happened to President Nixon after the release of the'smoking gun'?	So what happened to Nixon after the release of the'smoking gun'? Would you like to know what happened to President Nixon after Watergate?		136_1-13
136	1-11	136_1-11	What effects did the Watergate scandal on U.S. politics was?	What effects did the Watergate Scandal have on the country's politics? Do you want to know what the significance of the Watergate scandal on U.S. politics was?		136_1-13
136	1-13	136_1-13	What about Nixon's legacy after the Watergate scandal?	What about Nixon's legacy after the Watergate scandal?		136_1-13
136	1-1	136_1-1	What was the basis of the Watergate scandal? Yes, I want to learn what caused Watergate to occur.	What was the basis of the Watergate scandal? Yes, I want to learn what caused Watergate to occur.		136_2-5
136	2-1	136_2-1	What’s the story behind the Watergate Scandal?	"What’s the story behind the Watergate Scandal? No, I want to know where the alias ""Deep Throat"" came from."		136_2-5
136	2-3	136_2-3	Did the American public ever find out who Deep Throat was?	Did the public ever find out who Deep Throat was? Are you asking if the American public found ourt who Deep Throat was?		136_2-5
136	2-5	136_2-5	Why did the police arrested five men inside the offices of the Democratic National Committee on June 17, 1972?	Why did the police arrested five men inside the offices of the Democratic National Committee on June 17, 1972?		136_2-5
137	1-1	137_1-1	"I've been wondering a lot about Bostrom's ""simulation argument"" lately. What do you think about it?"	"I've been wondering a lot about Bostrom's ""simulation argument"" lately. What do you think about it?"		137_1-11
137	1-3	137_1-3	"Would you like an indepth look on Nick Bostrom's "" simulation argument ""?"	"What's most likely about Nick Bostrom's "" simulation argument ""? Would you like an indepth look on Bostrom's ""simulation argument""?"		137_1-11
137	1-5	137_1-5	Besides Nick Bostrom's simulation argument, do you want to know about other philosophers opinions on Bostrom's simulation argument?	"What do other philosophers think about Nick Bostrom's "" simulation argument ""? Do you want to know about other philosophers opinions on Bostrom's simulation argument?"		137_1-11
137	1-7	137_1-7	How would we know if we are indeed living in a simulation?	How would we know if we are indeed living in a simulation?		137_1-11
137	1-9	137_1-9	What does multiverse theory mean?	Okay, but so what does multiverse theory mean? Yes, I want to learn about the theory of Simulated Reality.		137_1-11
137	1-11	137_1-11	Are you referring to the Marvel Cinematic Universe future timeline?	So sounds like the plot of a Marvel movie. Too fantastic to be true. Are you referring to the Marvel Cinematic Universe future timeline?		137_1-11
138	1-1	138_1-1	My son is 16 and super shy and awkward. How do I build his self-esteem? Do you want to learn ways to boost your son's self esteem?	My son is 16 and super shy and awkward. How do I build his self-esteem? Do you want to learn ways to boost your son's self esteem?		138_1-11
138	1-3	138_1-3	What if criticism is unavoidable for your teenager?	What if criticism is unavoidable for your teenager?		138_1-11
138	1-5	138_1-5	What about your son's social skills?	What about your son's social skills? Well, I can only help so much, but social media seems to be affecting him.		138_1-11
138	1-7	138_1-7	What are some ways to help a child with low self esteem?	What can I do about the teenager that cares a lot about looks? Would you like a list of ways to help a child with low self esteem?		138_1-11
138	1-9	138_1-9	Do you want to know the effect of social media on teen's self esteem and how to prevent low self esteem?	Do you think social media might play a role in your teenager's lack of confidence? Do you want to know the effect of social media on teen's self esteem and how to prevent it?		138_1-11
138	1-11	138_1-11	How do I prevent low self-worth in teens?	How do I prevent low self-worth in teens?		138_1-11
139	1-1	139_1-1	Hey! I’d love to learn something interesting about the wonders of the world Are you interested in some of the lesser known facts about the wonders of the world?	Hey! I’d love to learn something interesting about the wonders of the world Are you interested in some of the lesser known facts about the wonders of the world?		139_2-19
139	2-1	139_2-1	What a Wonderful World is about the world's most spectacular natural features and human-built structures.	What a Wonderful World is about the world's most spectacular natural features and human-built structures.		139_2-19
139	2-3	139_2-3	Tell me about some of the famous landmarks in Asia - Natural and Manmade Yes, if they are in Asia.	Tell me about some of the famous landmarks in Asia - Natural and Manmade Yes, if they are in Asia.		139_2-19
139	2-5	139_2-5	How is the Great Wall of China maintained nowadays?	How is the Great Wall of China maintained nowadays? Yes, I want to know how it's maintianed.		139_2-19
139	2-7	139_2-7	So what’s another one about the Great Wall of China besides the rebuilding project?	Okay. So what’s another one about the Great Wall of China besides the rebuilding project? No, I want to know about other Asian landmarks besides the Wall.		139_2-19
139	2-9	139_2-9	Tell me more about how Taj Mahal was built, not just the dome.	Tell me more about how Taj Mahal was built. Yes, but I'd like to know about how all of it was built, not just the dome.		139_2-19
139	2-11	139_2-11	What continent would you recommend I visit if I was travelling to the continent?	What continent would you recommend I visit if I was travelling to the continent?		139_2-19
139	2-13	139_2-13	Besides the Taj Mahal, tell me about another wonder somewhere else in the world.	Besides the Taj Mahal, tell me about another wonder somewhere else in the world.		139_2-19
139	2-15	139_2-15	Along with the Seven Wonders of the Medieval Mind and Seven Wonders of the Middle Ages, what are the other ones?	Along with the Seven Wonders of the Medieval Mind and Seven Wonders of the Middle Ages, what are the other ones?		139_2-19
139	2-17	139_2-17	What is the relationship between architecture and nature in the Seven Natural Wonders of the World?	Makes me wonder if there’s a relationship between architecture and nature in the Seven Natural Wonders of the World? Yes, and if you would consider the Taj Mahal and example of Organic Architecture		139_2-19
139	2-19	139_2-19	Is the Indian mausoleum an example of Frank Lloyd Wright's philosophy of architecture?	Is the Indian mausoleum an example of Frank Lloyd Wright's philosophy of architecture?		139_2-19
139	1-1	139_1-1	"Hey! I’d love to learn something interesting about the wonders of the world I meant about the song, ""What a wonderful world"""	"Hey! I’d love to learn something interesting about the wonders of the world I meant about the song, ""What a wonderful world"""		139_1-7
139	1-3	139_1-3	Why did Larry Newton, the president of ABC Records, dislike What a Wonderful World?	Why did Larry Newton, the president of ABC Records, dislike What a Wonderful World? Yes, I am interested to know about it		139_1-7
139	1-5	139_1-5	Did sales of What a Wonderful World ever get better in the USA?	Did sales of What a Wonderful World ever get better in the US? Yes, tell me how it did in the USA.		139_1-7
139	1-7	139_1-7	Would you like to know the development history of Good Morning Vietnam?	OK, but how did Good Morning, Vietnam help? Would you like to know the development history of Good Morning Vietnam?		139_1-7
140	1-1	140_1-1	A friend asked me to tell him something interesting about Nigeria. What should I say? Would you like to learn some facts about Nigeria?	A friend asked me to tell him something interesting about Nigeria. What should I say? Would you like to learn some facts about Nigeria?		140_1-7
140	1-3	140_1-3	As a tourist, what’s the best place to visit in Nigeria?	As a tourist, what’s the best place to visit in Nigeria? I'm looking for general tourist locations, not a specific type of attraction.		140_1-7
140	1-5	140_1-5	Is Lagos where the Ranch is located, yes I want to hear about it.	Is Lagos where the Ranch is located, no? Yes I want to hear about it.		140_1-7
140	1-7	140_1-7	Tell me more about the weather in Nigeria.	Tell me more about the weather in Nigeria.		140_1-7
140	1-1	140_1-1	A friend asked me to tell him something interesting about Nigeria. What should I say? Would you like to learn some facts about Nigeria?	A friend asked me to tell him something interesting about Nigeria. What should I say? Would you like to learn some facts about Nigeria?		140_4-16
140	4-2	140_4-2	Tell me about the food in Nigeria. Are you looking for Nigerian food?	Tell me about the food in Nigeria. Are you looking for Nigerian food?		140_4-16
140	4-4	140_4-4	Is fufu safe in Nigeria?	Is fufu safe in Nigeria? Are you looking for Nigerian food?		140_4-16
140	4-6	140_4-6	What are some must-try recipes for fufu as a tourist in Nigeria?	What are some must-try recipes for fufu as a tourist in Nigeria? Yes, I am looking for Nigerian food.		140_4-16
140	4-8	140_4-8	Who’s recipe for Jollof rice is the best in Nigeria?	Who’s recipe for Jollof rice is the best in Nigeria? Yes, please provide more information about Nigerian food.		140_4-16
140	4-10	140_4-10	Are you searching for information about African food?	Wow! Tell me how the recipes for West African Jollof Rice are different. Are you searching for information about African food?		140_4-16
140	4-12	140_4-12	So what region did West African Jollof originate from?	So what region did West African Jollof originate from? I'm only asking about whichever region Jollof rice originated from		140_4-16
140	4-14	140_4-14	Aside from the basic ingredients, tell me the other dishes in Nigeria. Yes, im looking for Nigerian food.	Aside from the basic ingredients, tell me the other dishes in Nigeria. Yes, im looking for Nigerian food.		140_4-16
140	4-16	140_4-16	Is there a third type of Jollof in Nigeria?	Is there a third type of Jollof in Nigeria?		140_4-16
140	1-1	140_1-1	A friend asked me to tell him something interesting about Nigeria. What should I say? Yes, tell me some interesting facts about Nigeria.	A friend asked me to tell him something interesting about Nigeria. What should I say? Yes, tell me some interesting facts about Nigeria.		140_2-5
140	2-1	140_2-1	Tell me about tourism in Nigeria. No, I'm only interested in the present day tourism.	Tell me about tourism in Nigeria. No, I'm only interested in the present day tourism.		140_2-5
140	2-3	140_2-3	How’s the tourism sector in Nigeria managed?	How’s the tourism sector in Nigeria managed? Do you want to know the processes involved in managing Nigerian tourism?		140_2-5
140	2-5	140_2-5	What’s an example of one of Nigeria’s tourism initiatives?	What’s an example of one of Nigeria’s tourism initiatives?		140_2-5
140	1-1	140_1-1	A friend asked me to tell him something interesting about Nigeria. What should I say? Yes, give me some interesting facts about the country.	A friend asked me to tell him something interesting about Nigeria. What should I say? Yes, give me some interesting facts about the country.		140_1-11
140	1-3	140_1-3	What attractions are going on in Duke Town in Calabar?	As a tourist, what’s the best place to visit in Nigeria? I'm intrigued about Duke Town in Calabar what attractions are going on there?		140_1-11
140	1-9	140_1-9	I’m intrigued by Duke town. No, I am more interested in Calabar.	I’m intrigued by Duke town. Tell me more. No, I am more interested in Calabar.		140_1-11
140	1-11	140_1-11	Where did Calabar come about after King Eyamba V of Duke Town and King Eyo of Creek Town signed a treaty?	Where did the name Calabar come about after King Eyamba V of Duke Town and King Eyo of Creek Town signed a treaty? I would love to have full information on the topic of Calabar to learn the history of it's orgins		140_1-11
140	1-1	140_1-1	A friend asked me to tell him something interesting about Nigeria. What should I say? Yes, something interesting that I can pass on to a friend.	A friend asked me to tell him something interesting about Nigeria. What should I say? Yes, something interesting that I can pass on to a friend.		140_3-3
140	1-3	140_1-3	What is the best place to visit in Nigeria for a tourist?	As a tourist, what’s the best place to visit in Nigeria? I'm looking for general recommendations, not a specific type of attraction.		140_3-3
140	3-1	140_3-1	Are you interested in the most popular tourist spots in Nigeria besides Ikeja and Victoria Island?	What’s another place worth visiting in Nigeria besides Ikeja and Victoria Island? Are you interested in the most popular tourist spots in Nigeria?		140_3-3
140	3-3	140_3-3	Are you interested in knowing Nigeria's capital besides Calabar and Lagos?	I used to work in Abuja and it was crazy and chaotic. Abuja is better I think Are you interested in knowing Nigeria's capital?		140_3-3
141	1-1	141_1-1	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I want to know what scams I should be on the lookout for.	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I want to know what scams I should be on the lookout for.		141_1-5
141	1-3	141_1-3	What else should I be aware of other than scammers who are desperate to get you to join?	What else should I be aware of other than scammers who are desperate to get you to join? I would like to learn about these signs.		141_1-5
141	1-5	141_1-5	What do you suggest I do next after talking to the guy I talked to actually?	What do you suggest I do next after talking to the guy I talked to actually?		141_1-5
141	1-1	141_1-1	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I wanted to know if it is a scam or not.	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I wanted to know if it is a scam or not.		141_2-13
141	2-1	141_2-1	So is the scam of making 20% monthly interest on my money a Ponzi scheme?	So is the scam of making 20% monthly interest on my money a Ponzi? Yes, please tell me what a Ponzi scheme is.		141_2-13
141	2-3	141_2-3	Would you like to know examples of Ponzi schemes?	What’s an example of Ponzi schemes? Would you like to know examples of ponzi schemes?		141_2-13
141	2-5	141_2-5	How do ponzi schemes are discovered?	How do Ponzi schemes unravel? Would you like to know how ponzi schemes are discovered?		141_2-13
141	2-7	141_2-7	What other schemes are similar to Ponzi schemes besides the one above?	No, tell me how Ponzi schemes collapse. I'd like to know what other schemes are similar to Ponzi schemes.		141_2-13
141	2-9	141_2-9	Can you compare the Ponzi schemes out there with the ones out there?	Can you compare the Ponzi schemes out there with the ones out there? I want examples of schemes similar to Ponzi schemes.		141_2-13
141	2-11	141_2-11	What else is there other than Ponzi schemes besides pyramid schemes?	What else is there other than Ponzi schemes?		141_2-13
141	2-13	141_2-13	What does a bubble sound like?	What does a bubble sound like?		141_2-13
142	1-1	142_1-1	What should I know about Argentina? I want to know every fact concerning it	What should I know about Argentina? I want to know every fact concerning it		142_3-5
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina?		142_3-5
142	2-2	142_2-2	What makes Buenos Aires’ culture distinct from the rest of the country?	What makes Buenos Aires’ culture distinct from the rest of the country? Are you interested in the modern culture of buenos aires?		142_3-5
142	3-1	142_3-1	You’ve mentioned Argentina several times now. Tell me more.	You’ve mentioned Argentina several times now. Tell me more.		142_3-5
142	3-3	142_3-3	Do you want to learn about the origins of the Argentine tango?	I meant the tango in relation to Argentina. Do you want to learn about the origins of the Argentine tango?		142_3-5
142	3-5	142_3-5	Why is clothing important historically in Argentina?	Why is clothing important historically in Argentina?		142_3-5
142	1-1	142_1-1	What should I know about Argentina? Check with a travel agent and go on travel blogs to look for reviews.	What should I know about Argentina? Check with a travel agent and go on travel blogs to look for reviews.		142_7-1
142	7-1	142_7-1	How can I explore both Malbec and Iguazu Falls in Argentina?	How can I explore both Malbec and Iguazu Falls?		142_7-1
